ptp,counterbalancing,batch_id,qc_fail_overall,qc_fail_manual,qc_fail_instructions_rt,qc_fail_break_rt,qc_fail_missing_or_fast,qc_fail_mouse_error,n_unique_scroll,qc_fail_display_issues,qc_fail_iqr
sub_001,cb2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_002,cb5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_003,cb3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_004,cb2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_005,cb1,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,58,TRUE,
sub_006,cb1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_007,cb5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_008,cb1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_009,cb4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_010,cb3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_011,cb3,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,
sub_012,cb1,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,FALSE,
sub_013,cb1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_014,cb4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_015,cb2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE
sub_016,cb4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_017,cb4,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,FALSE,
sub_018,cb4,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,
sub_019,cb3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_020,cb4,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,FALSE,
sub_021,cb5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_022,cb4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE
sub_023,cb1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_024,cb5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_025,cb2,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,
sub_026,cb3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_027,cb2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_028,cb2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_029,cb4,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,FALSE,
sub_030,cb4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_031,cb4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_032,cb1,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,
sub_033,cb5,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,
sub_034,cb2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_035,cb3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_036,cb3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_037,cb1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_038,cb5,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,
sub_039,cb4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_040,cb5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_041,cb4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_042,cb3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_043,cb2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_044,cb1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_045,cb5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_046,cb1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_047,cb5,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,
sub_048,cb3,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,TRUE
sub_049,cb1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_050,cb4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_051,cb1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE
sub_052,cb2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_053,cb5,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_054,cb3,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22,TRUE,
sub_055,cb2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_056,cb1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_057,cb5,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE
sub_058,cb2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE
sub_059,cb1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_060,cb3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_061,cb5,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_062,cb5,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_063,cb4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_064,cb3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_065,cb3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_066,cb5,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_067,cb4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_068,cb1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_069,cb5,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,TRUE
sub_070,cb2,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,
sub_071,cb4,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,
sub_072,cb2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE
sub_073,cb5,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,TRUE
sub_074,cb4,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,4,FALSE,
sub_075,cb3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_076,cb2,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,
sub_077,cb5,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_078,cb3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_079,cb4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_080,cb1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_081,cb2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_082,cb5,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_083,cb4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE
sub_084,cb3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_085,cb2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
