ptp,counterbalancing,condition,hidden_pa_img_row_number_across_blocks,mouse_error_mean,mouse_error_sd,mouse_error_n,border_dist_closest,hidden_pa_img_type
sub_001,cb3,schema_2_2,1,155.2949970681517,170.59043146504146,6,all,all_pa
sub_001,cb3,schema_2_2,2,148.79571208766762,96.27400132390741,6,all,all_pa
sub_001,cb3,schema_2_2,3,78.28483260663248,109.69620962772996,6,all,all_pa
sub_001,cb3,schema_2_2,4,95.99106745227417,92.26796400259921,6,all,all_pa
sub_001,cb3,schema_2_2,5,118.0091131224016,130.1366967176232,6,all,all_pa
sub_001,cb3,schema_2_2,6,80.46424720536262,131.1748866086889,6,all,all_pa
sub_001,cb3,schema_2_2,7,69.88273368885163,121.62919327681004,6,all,all_pa
sub_001,cb3,schema_2_2,8,19.33523339821062,18.47383755140119,6,all,all_pa
sub_001,cb3,schema_4_2,1,116.17604840336644,62.853850633378286,6,all,all_pa
sub_001,cb3,schema_4_2,2,190.51794570741012,85.66339281475197,6,all,all_pa
sub_001,cb3,schema_4_2,3,202.52764245237933,61.94862259052282,6,all,all_pa
sub_001,cb3,schema_4_2,4,194.87710028938378,90.80072837599843,6,all,all_pa
sub_001,cb3,schema_4_2,5,175.0760997001919,108.6830435982492,6,all,all_pa
sub_001,cb3,schema_4_2,6,126.80705086059929,37.824411857531146,6,all,all_pa
sub_001,cb3,schema_4_2,7,120.69586086012656,81.84396337699893,6,all,all_pa
sub_001,cb3,schema_4_2,8,137.9512601190601,76.61762466758992,6,all,all_pa
sub_001,cb3,schema_4_4,1,145.10197010471708,57.81125524913111,6,all,all_pa
sub_001,cb3,schema_4_4,2,91.41259619793922,77.92145338170747,6,all,all_pa
sub_001,cb3,schema_4_4,3,89.5519931652899,73.63149631638886,6,all,all_pa
sub_001,cb3,schema_4_4,4,76.10953233939472,79.21559888776441,6,all,all_pa
sub_001,cb3,schema_4_4,5,125.06375335233332,94.2164747516279,6,all,all_pa
sub_001,cb3,schema_4_4,6,49.816725596479955,27.573354984532273,6,all,all_pa
sub_001,cb3,schema_4_4,7,85.39288943415622,87.66623847467072,6,all,all_pa
sub_001,cb3,schema_4_4,8,71.6420816128401,60.72765176383332,6,all,all_pa
sub_001,cb3,schema_6_0,1,137.8647168231168,58.078087809228826,6,all,all_pa
sub_001,cb3,schema_6_0,2,152.65985910091865,75.58019711479514,6,all,all_pa
sub_001,cb3,schema_6_0,3,143.5352967378653,54.54426397601545,6,all,all_pa
sub_001,cb3,schema_6_0,4,149.45893240235924,115.53931759648673,6,all,all_pa
sub_001,cb3,schema_6_0,5,88.6079767963831,75.58754872588639,6,all,all_pa
sub_001,cb3,schema_6_0,6,127.82610913217542,99.19102673672047,6,all,all_pa
sub_001,cb3,schema_6_0,7,100.872399156049,131.928797481126,6,all,all_pa
sub_001,cb3,schema_6_0,8,97.68800207702795,74.18544472054666,6,all,all_pa
sub_002,cb2,schema_2_2,1,233.08974488777875,73.25984088006513,6,all,all_pa
sub_002,cb2,schema_2_2,2,101.20032511535688,42.996676648869865,6,all,all_pa
